PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_Q,Embarked_S
1,0,3,0,-0.5303766406838785,1,0,-0.5024451714361923,,False,True
2,1,1,1,0.571830994003175,1,0,0.7868452935884461,C85,False,False
3,1,3,1,-0.25482473201211503,0,0,-0.4888542575852486,,False,True
4,1,1,1,0.36516706249935255,1,0,0.4207302360686478,C123,False,True
5,0,3,0,0.36516706249935255,0,0,-0.4863374216869257,,False,True
7,0,1,0,1.6740386286902287,0,0,0.395813560675251,E46,False,True
8,0,3,0,-1.9081361840426954,3,1,-0.22408312108167944,,False,True
9,1,3,1,-0.1859367548441742,0,2,-0.4242561406845337,,False,True
10,1,2,1,-1.0814804580274051,1,0,-0.04295550208861426,,False,False
11,1,3,1,-1.7703602297068137,1,1,-0.312172377522981,G6,False,True
12,1,1,1,1.949590537361992,0,0,-0.11384570873513637,C103,False,True
13,0,3,0,-0.6681525950197601,0,0,-0.4863374216869257,,False,True
14,0,3,0,0.6407189711711159,1,5,-0.01870931177853076,,False,True
15,0,3,1,-1.0814804580274051,0,0,-0.4902797934380587,,False,True
16,1,2,1,1.7429266058581694,0,0,-0.3262666585535892,,False,True
17,0,3,0,-1.9081361840426954,4,1,-0.06199888922968463,,True,False
19,0,3,1,0.08961515382758917,1,0,-0.2859972841804228,,False,True
21,0,2,0,0.36516706249935255,0,0,-0.12491978668775715,,False,True
22,1,2,0,0.2962790853314117,0,0,-0.3866707201133388,D56,False,True
23,1,3,1,-1.0125924808594644,0,0,-0.4867562231804066,,True,False
24,1,1,0,-0.11704877767623337,0,0,0.06635974158478332,A6,False,True
25,0,3,1,-1.4948083210350502,3,1,-0.22408312108167944,,False,True
26,1,3,1,0.571830994003175,1,5,-0.016444159470040135,,False,True
31,0,1,0,0.7096069483390568,0,0,-0.09027201697708476,,False,False
34,0,2,0,2.500694354705519,0,0,-0.43700743807979686,,False,True
35,0,1,0,-0.11704877767623337,1,0,1.0060617003323709,,False,False
36,0,1,0,0.8473829026749384,1,0,0.39858208016340624,,False,True
38,0,3,0,-0.5992646178518193,0,0,-0.4863374216869257,,False,True
39,0,3,1,-0.8059285493556418,2,0,-0.2859972841804228,,False,True
40,1,3,1,-1.0814804580274051,1,0,-0.42207354059350805,,False,False
41,0,3,1,0.7096069483390568,1,0,-0.4576454924460446,,False,True
42,0,2,1,-0.1859367548441742,1,0,-0.22559322262067316,,False,True
44,1,2,1,-1.8392482068747544,1,2,0.18876253192945994,,False,False
45,1,3,1,-0.7370405721877009,0,0,-0.48977642625839407,,True,False
50,0,3,1,-0.8059285493556418,1,0,-0.29002422161773944,,False,True
51,0,3,0,-1.5636962982029912,4,1,0.1506737441786005,,False,True
52,0,3,0,-0.5992646178518193,0,0,-0.4913710934835715,,False,True
53,1,1,1,1.3295987428505243,1,0,0.8964967865378598,D33,False,False
54,1,2,1,-0.04816080050829252,1,0,-0.12491978668775715,,False,True
55,0,1,0,2.431806377537578,0,1,0.5995101505357573,B30,False,False
57,1,2,1,-0.5992646178518193,0,0,-0.43700743807979686,,False,True
58,0,3,0,-0.08260478909226295,0,0,-0.5028639729296732,,False,False
59,1,2,1,-1.7014722525388728,1,2,-0.08968408411123653,,False,True
60,0,3,0,-1.2881443895312277,5,2,0.2958951755118318,,False,True
61,0,3,0,-0.5303766406838785,0,0,-0.5028639729296732,,False,False
62,1,1,1,0.571830994003175,0,0,0.962353321387736,B28,False,False
63,0,1,0,1.054046834178761,1,0,1.0323213593611125,C83,False,True
64,0,3,0,-1.7703602297068137,3,2,-0.08666388103324908,,False,True
